INDEX,max_level,max_flat
10-5--EH6 4ST,2,1
10-50-A----EH41 3QA,0,10
10-54-A----EH32 9LG,4,10
10-56-A----EH41 4AF,6,10
10-57-A----EH41 3AN,7,10
10-60-A----EH41 3BG,0,10
10-65-A----EH41 3LN,5,10
10-7--EH3 9LA,3,2
10-A--EH15 1HZ,3,5
10-A--EH2 4PG,3,3
10-C--EH15 1EY,3,3
100--EH1 2HH,4,2
100--EH11 1LH,3,2
100--EH11 1LL,3,2
100--EH11 3HU,1,2
100--EH12 7JN,2,2
100--EH3 9PF,1,2
100--EH5 2PE,1,2
100--EH6 4PG,2,1
100--EH7 4HP,2,1
100--EH8 9LY,1,2
100--EH8 9NQ,4,3
100--EH8 9PT,3,2
100--EH9 1AS,3,2
100--EH9 1ET,3,2
100--G12 9ST,2,2
100-1--EH8 8DD,3,2
101--EH11 3BR,2,2
101--EH11 3HX,1,2
101--EH11 4NT,2,2
101--EH15 1AR,3,3
101--EH16 6DH,2,2
101--EH21 6PY,1,3
101--EH3 8AB,3,4
101--EH4 7JA,1,3
101--EH6 4ET,3,3
101--EH7 4DG,3,3
101--EH7 4EG,3,4
101--EH7 4JA,3,3
101--EH7 5EY,3,2
101--EH7 5HR,3,3
101-4--EH1 1SP,4,4
102--EH10 4ES,4,2
102--EH10 5QL,2,2
102--EH11 3DF,1,2
102--EH16 6DJ,2,2
102--EH4 1HH,4,2
102--EH5 2PE,1,2
102--EH7 6EN,1,2
102--EH8 9NQ,4,3
103--EH10 6AG,3,2
103--EH11 1LT,3,3
103--EH11 4NT,2,2
103--EH12 5QB,2,2
103--EH17 7HJ,1,2
103--EH2 3DT,2,2
103--EH7 5EX,3,2
103--EH7 5PP,3,3
104--EH11 2DW,3,6
104--EH2 2NN,4,2
104--EH4 2SX,3,2
104--EH4 2SZ,2,2
104--EH6 8HL,4,3
104--EH7 4JZ,3,3
104--EH7 5HE,3,3
104--EH8 8EY,3,3
104--EH9 1PU,2,3
104--EH9 3ES,2,2
105--EH11 3BR,1,2
105--EH11 4NT,2,2
105--EH14 2AP,2,2
105--EH3 5BB,3,2
105--EH3 8BX,2,1
105--EH5 3NJ,3,4
105--EH7 5EX,3,2
105--EH8 9NG,3,2
105--EH8 9QY,3,3
105--EH9 1EN,3,2
106--EH11 1LH,3,2
106--EH11 2NP,3,4
106--EH11 3HU,1,2
106--EH12 8AT,1,1
106--EH15 1AL,3,2
106--EH3 9BE,3,2
106--EH3 9PL,2,2
106--EH4 1HH,4,2
106--EH4 2SZ,2,2
106--EH7 6JB,3,4
106--EH9 1AS,3,2
106--EH9 1BG,3,2
106--EH9 1BY,3,2
106--EH9 1HT,2,2
107--EH1 3RZ,3,2
107--EH11 3HX,1,2
107--EH12 5XE,1,2
107--EH5 3NJ,3,4
107--EH6 4DE,3,4
107--EH7 4DG,3,3
107--EH7 4EG,3,4
107--EH7 5EX,3,2
107--EH9 1HA,3,2
107-1--EH1 1SW,3,3
107-3--EH1 1SW,3,2
108--EH10 5QL,3,3
108--EH11 3DF,1,2
108--EH11 3HA,2,1
108--EH2 1DR,3,2
108--EH2 3JF,3,2
108--EH2 4LH,3,1
108--EH3 9HX,3,3
108--EH4 2SZ,2,2
108--EH7 4NQ,3,3
